,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urban Area,Population,,Population,,Peak Period,Commuters,Freeway,,Arterial Street,,Public Transportation,,Cost Components,,,,Congested,Congested ,Number of Rush,Annual Excess Fuel Consumed,,,,Annual Hours of Delay,,,,Travel Time Index,,Commuter Stress Index,,Freeway Planning Time Index,,,,Excess CO2 Due to Congestion,,,,Truck,Truck,Annual Congestion Cost,,,,Annual Effects of Operations Treatments,,,Condition if Public Transportation Service were Discontinued,,,Roadway 
,,Group,Year,(000),Rank,Travelers,(000),Daily Vehicle-,Lane-miles,Daily Vehicle-,Lane-miles,Annual,Annual Unlinked,Value of Time,Commercial,Average State,Average State,Travel,System,Hours (time when ,Total Gallons,,Gallons per ,,Total Delay,,per Auto,,,,,,95th Percentile,,80th Percentile,,Congested CO2,,CO2 per Peak ,,Congestion,Commodity,Total Dollars,,per Auto,,Delay Reduction,Delay Reduction,Congestion Cost,Annual Delay,Annual Delay,Annual Congestion,Congestion
,,,,,,(000),,Miles of Travel,,Miles of Travel,,Passenger-miles,Passenger Trips,($/hour),Value of Time,Gasoline Cost,Diesel Cost,(% of Peak VMT),(% of lane-miles),system may be,(000),Rank,Auto Commuter,Rank,(000),Rank,Commuter,Rank,Value,Rank,Value,Rank,Value,Rank,Value,Rank,Pounds (million),Rank,Auto Commuter,,Cost ($mil),Value ($mil),(million),Rank,Commuter ($),Rank,(1000 hours),per Auto Commuter,Savings ($million),Increase,Increase per Auto,Cost Increase,Index
LEFT,,,,,,,,(000),,(000),,(million),(million),,($/hour),($/gallon),($/gallon),,,congested),,,,,,,,,,,,,,,,,,,(pounds),Rank,,,,,,,,(hours),,(1000 hours),Commuter (hours),($million),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boise,Boise ID,Sml,2011,319,94,179,168,1617,166,4225,739,8,1.4,16.79,86.81,3.31,3.77,39,49,2,1662,96,8,91,3636,95,16,94,1.06,100,1.12,89,1.67,95,1.17,96,26,95,120,94,10,4879,74,97,334,95,64,0,1.3,35,0,0.7,0.91
Bosto,Boston MA-NH-RI,Vlg,2011,4320,9,2199,1979,42357,2911,34942,7265,1907.5,398.6,16.79,86.81,3.49,3.73,56,39,5,66615,8,26,4,136966,11,53,5,1.28,6,1.35,6,4.25,8,2.02,8,1338,8,526,3,561,129308,2922,11,1147,6,5827,3,124.3,37943,19,809.4,1.02
Bould,Boulder CO,Sml,2011,152,101,85,80,682,63,1039,200,,,16.79,86.81,3.27,3.67,17,22,3,1193,100,12,69,2237,101,22,86,1.18,37,1.2,50,3.68,20,1.79,21,24,97,229,75,5,825,45,101,436,88,50,1,1,116,1,2.4,0.87
Bridg,Bridgeport-Stamford CT-NY,Med,2011,938,50,524,491,10873,686,5974,1354,39.1,11.6,16.79,86.81,3.59,3.9,59,40,5,12226,41,19,24,26503,41,42,21,1.27,8,1.27,24,4.4,4,2.05,7,246,42,392,25,111,11199,566,42,902,24,1107,2,23.7,382,1,8.2,1.09
Brown,Brownsville TX,Sml,2011,214,100,120,112,842,81,1517,432,15.1,1.8,16.79,86.81,3.29,3.56,17,24,1.5,2292,91,15,48,3697,94,25,75,1.18,37,1.19,55,1.46,99,1.18,94,46,88,308,46,23,2414,85,95,565,72,69,1,1.6,316,3,7.3,0.73
Buffa,Buffalo NY,Lrg,2011,1048,46,508,472,6931,815,9604,2380,101.8,30.5,16.79,86.81,3.65,3.99,20,21,4,11611,46,18,30,21545,48,33,45,1.17,47,1.19,55,2.79,52,1.48,52,234,46,357,35,102,48933,474,47,718,43,539,1,11.9,1513,3,33.3,0.67
Cape ,Cape Coral FL,Sml,2011,473,83,265,249,1793,154,5879,911,19.1,3.5,16.79,86.81,3.24,3.65,43,40,2.25,5118,68,15,48,9964,74,30,53,1.15,57,1.2,50,1.86,91,1.13,98,103,67,302,49,53,6033,220,71,645,56,501,2,11.1,173,1,3.8,1.08
Charl,Charleston-North Charleston SC,Med,2011,535,77,299,280,3754,268,6021,858,17.2,4.5,16.79,86.81,3.14,3.53,52,51,4.25,5108,70,14,57,10885,68,30,53,1.15,57,1.18,61,3.24,29,1.56,41,103,67,280,55,58,10677,240,68,647,55,354,1,7.8,126,0,2.8,1.15
Charl,Charlotte NC-SC,Lrg,2011,1070,43,610,567,12797,978,10066,1686,139.3,26.9,16.79,86.81,3.32,3.64,59,51,4,14599,37,20,19,28974,38,40,25,1.2,27,1.26,28,3.2,31,1.61,39,296,36,412,19,168,69136,653,37,898,25,1313,2,29.6,1087,2,24.5,0.99
Chica,Chicago IL-IN,Vlg,2011,8605,3,4707,3959,62791,3500,51500,13959,4098.9,646.6,16.79,86.81,3.51,3.74,88,70,5.25,127016,3,24,8,271718,3,51,7,1.25,14,1.31,16,3.95,13,2.02,8,2320,3,434,16,1716,362328,6214,3,1153,5,11710,3,267.8,67432,17,1542.1,1.16
Cinci,Cincinnati OH-KY-IN,Lrg,2011,1717,27,986,887,19370,1358,13323,2890,112,20.7,16.79,86.81,3.25,3.69,47,35,4,20783,27,18,30,42785,29,37,37,1.2,27,1.23,32,3.2,31,1.65,33,421,26,364,33,230,65182,947,27,814,33,1313,1,29.1,2305,3,51,1
Cleve,Cleveland OH,Lrg,2011,1700,28,955,857,18569,1580,12222,3111,195.2,47,16.79,86.81,3.25,3.69,21,21,4,17481,31,15,48,34980,36,31,50,1.16,51,1.2,50,2.49,63,1.48,52,350,29,308,46,130,68720,736,36,642,57,1193,1,25.1,3432,4,72.3,0.83
Color,Colorado Springs CO,Med,2011,557,74,311,292,4624,407,5129,1335,21.1,3,16.79,86.81,3.27,3.67,32,28,3,4128,78,11,80,9941,75,26,71,1.13,68,1.16,69,3.06,39,1.47,55,83,76,214,81,36,6588,205,77,530,78,343,1,7.1,325,1,6.7,0.8
Colum,Columbia SC,Sml,2011,490,81,275,258,6106,495,5174,1054,9.6,1.8,16.79,86.81,3.14,3.53,34,40,1.5,4850,73,14,57,10081,72,30,53,1.11,79,1.14,78,1.95,88,1.21,91,98,71,291,53,58,12552,225,69,663,52,184,1,4.1,301,1,6.7,0.9
Colum,Columbus OH,Lrg,2011,1289,36,735,683,16466,1104,10872,2170,72.3,19,16.79,86.81,3.25,3.69,49,36,4,15494,36,18,30,35689,34,40,25,1.18,37,1.22,37,2.86,50,1.51,50,311,34,353,39,145,70584,753,35,847,29,1150,2,24.3,755,1,15.9,1.05
Corpu,Corpus Christi TX,Sml,2011,337,93,189,177,2942,320,2706,757,26.7,6,16.79,86.81,3.29,3.56,12,16,1.5,1340,99,6,97,3160,98,14,98,1.04,101,1.11,95,1.44,100,1.1,99,9,101,39,101,14,12484,67,99,287,100,30,0,0.6,122,1,2.6,0.67
Dalla,Dallas-Fort Worth-Arlington TX,Vlg,2011,5260,6,3161,3003,62600,3650,44012,10000,468.2,73,16.79,86.81,3.29,3.56,70,44,5,74806,7,20,19,167718,6,45,13,1.26,10,1.33,13,4,11,1.94,14,1505,7,405,20,734,230466,3578,6,957,15,10595,4,226,6292,2,134.2,1.16
Dayto,Dayton OH,Med,2011,745,54,416,390,7384,681,6335,1537,45.7,10.6,16.79,86.81,3.25,3.69,25,24,2.5,6106,66,12,69,12442,65,24,80,1.11,79,1.13,81,2.37,67,1.31,73,123,65,235,70,52,34109,265,64,507,81,275,1,5.9,347,1,7.4,0.79
Denve,Denver-Aurora CO,Lrg,2011,2348,19,1477,1396,22205,1463,21575,3840,542.2,98.1,16.79,86.81,3.27,3.67,72,59,5.25,34510,15,20,19,76154,15,45,13,1.27,8,1.34,10,4.08,9,2.01,11,695,15,403,21,316,76748,1612,15,937,16,4447,3,94.1,6007,4,127.1,1.09
Detro,Detroit MI,Vlg,2011,3869,12,2190,2054,32778,2169,46953,8613,309,49.6,16.79,86.81,3.46,3.74,60,47,5,48705,12,18,30,106434,12,40,25,1.18,37,1.22,37,3.22,30,1.63,36,982,12,370,30,475,161391,2287,12,859,27,3853,2,82.8,2355,1,50.6,1.08
El Pa,El Paso TX-NM,Med,2011,739,55,413,387,5684,516,6314,1604,85.7,16.4,16.79,86.81,3.29,3.56,31,25,3.5,8500,54,17,40,15990,56,32,47,1.21,25,1.22,37,3.37,27,1.7,29,171,54,335,41,81,32105,353,56,688,46,1009,3,22.3,1169,3,25.8,0.79
