,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t,
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2,
Inland Empire,1.3841718613966598,1.3517235884128587,1.333861277971942,1.3212182810798512,1.3158819753742408,1.312627353699904,1.306991829104972,1.3018012430142005,1.295915004423644,0.3251020267958392,0.30138051027855667,0.288077952559866,0.27855425116284843,0.2745071445151638,0.27203074216680395,0.2677281829813589,0.2637488769983738,0.25921701277297604,-0.028870077935156415,0.38869097300864147,1.4750486510471956,0.9892329644095649,-0.038627578980076176,1.4687984004884655,0.9876010910548958,0.8578631578081258,0.8512537691883206,
Jacksonville,1.381564302212822,1.361335749578314,1.3294690524529627,1.315575364132373,1.308047643913695,1.3090196313866675,1.3113691978150683,1.314330996776968,1.317999888069782,0.32321640951190833,0.30846638654334696,0.2847796538466802,0.27427410920149786,0.26853567738210254,0.2692784840549292,0.27107178055496284,0.27332778847558575,0.27611535115601904,-0.02458355259102112,0.3748035039338976,1.4547055426162978,0.8267270222777325,-0.03303095098252923,1.4506752822642355,0.8273924938608542,0.5862851337318379,0.585944402335176,
Kansas City,1.3497363834314509,1.2910908276182511,1.2763607033146633,1.2688501335417108,1.2596090368446629,1.2489552286252659,1.240932510145499,1.2355926103504966,1.2317795249177137,0.2999093018501115,0.2554874638577948,0.24401282782381206,0.23811108368224576,0.23080138459551544,0.222307384724557,0.21586312129923663,0.21155070142810312,0.20845989204929466,-0.03908501854067665,0.38187022835384676,1.465021954485759,0.9714341802127496,-0.050250010953582266,1.454171473910026,0.9673348159416203,0.8311636119541204,0.8200333115042541,
Las Vegas,1.3162005811729707,1.3366132908202915,1.347998572923118,1.3314821860068244,1.329484525894616,1.3281005575067044,1.3273180275304128,1.3260391661883868,1.3262462737318623,0.27474923859347716,0.2901390197984176,0.2986209538271796,0.2862927472914951,0.2847912925919216,0.28374976920163547,0.28316038566462665,0.2821964284227737,0.28235260131486084,0.0002461710270937704,0.28419994778345786,1.3286985745293283,0.0007410965299103832,0.0002926935564986881,1.3288522892200307,0.0005898327971205909,0.03557897763475353,0.03649869030275455,
Los Angeles,1.2967211649778432,1.281490126533111,1.2574820774863131,1.2433543124840745,1.2360933047718667,1.2376914918106077,1.2408507300315808,1.245014327058268,1.2490194092718765,0.25983889762492307,0.24802356217514915,0.22911137039421578,0.2178128181568498,0.2119558454839522,0.21324794434663352,0.21579721698283702,0.2191470375277819,0.22235877087207911,-0.02051542212510161,0.30278610052740795,1.3536248938230149,0.7811997665697538,-0.02599285967089526,1.3510144433854128,0.7830369508283892,0.5358247952892505,0.536868275204511,
Louisville,1.4461618303699983,1.3775195874982225,1.3369233725771599,1.3141602486187556,1.3025339347915854,1.2936603925299017,1.2909809753440558,1.2926419494509371,1.298155322394187,0.3689130333596569,0.3202844815432705,0.29037098352085616,0.2731978674353298,0.26431154788878736,0.2574757138201957,0.25540237538416244,0.25668814686402436,0.2609442739843384,-0.05150726801714134,0.4749304878422723,1.607902424834083,0.9255878761098992,-0.07001179401562319,1.588876615693456,0.9210849208716182,0.7049013416005985,0.6960148044843937,
Memphis,1.3673423853224496,1.323930461422739,1.290847678474549,1.2725419334652774,1.2608373515002151,1.254477735059791,1.249699683468217,1.2476866201392505,1.2462450438919415,0.3128689911374815,0.2806049345514758,0.2552991176645396,0.2410164225068733,0.23177606492077374,0.2267193386076871,0.22290326922335377,0.22129113275727966,0.22013506546910597,-0.04381324377289021,0.40905082476071175,1.5053882295378107,0.9727625877952364,-0.05696811316880557,1.4914966892026267,0.969959876320446,0.8047345881082925,0.7964701921844121,
Milwaukee,1.2642401733175872,1.2186336349093323,1.195432722588013,1.1840651584317397,1.1771971316163268,1.171858273061906,1.1688546907246202,1.1684578197240036,1.1687494009015562,0.23447128821101598,0.19773025972275235,0.17850823078943814,0.16895356740682327,0.16313630075879143,0.15859075642092885,0.15602437256071,0.15568477654806168,0.15593428902302936,-0.03570268937773288,0.30732998161098957,1.3597895996105172,0.9412059364223578,-0.043204397339544946,1.3517689397543644,0.9368864971424435,0.7303922399271929,0.7224455555687304,
Minneapolis-St.Paul,1.3432337036137816,1.294778761107952,1.264148984854071,1.2474610396413324,1.2354179281430617,1.2276619490486302,1.221194278923895,1.2155297767685767,1.2111779645088356,0.2950799184957135,0.2583398397132616,0.23439915654310323,0.22111031740741574,0.2114093161891455,0.20511150603584427,0.19982929706896724,0.19518001202114402,0.1915934104285788,-0.04722246049973015,0.3994655743129211,1.4910276412049197,0.9895462505489335,-0.06005442615011026,1.4748816252659047,0.986636165504441,0.8472509695931972,0.8370744497515686,
Nashville,1.3962975386380219,1.3556471646875112,1.321657282390354,1.3115095367813425,1.2975109840164123,1.2812771919082664,1.268359624737877,1.2583035105280034,1.250006684562104,0.3338241181899986,0.3042789526267123,0.27888646605832695,0.271178791957783,0.26044780154532077,0.24785738663217086,0.23772443152757539,0.22976439350937683,0.2231488989495944,-0.05032975613708462,0.4527134457906531,1.5725734943890717,0.992611111729146,-0.06646064134354127,1.5520743023557373,0.9943693445830921,0.9402099857889824,0.9321761283258896,
