,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2
Inland Empire,1.3734377415845354,1.3661627731164396,1.3623371102112816,1.35986028467875,1.3524307658097707,1.3458390291766396,1.340855665082751,1.3360729352383633,1.330115441516819,0.31731689722917167,0.31200591445691056,0.30920168826982664,0.307381962616822,0.3019035406388089,0.2970176320772621,0.29330796620457045,0.2897346658686356,0.2852657365998691,-0.014266126676883711,0.35460102578632713,1.4256117584713084,0.8924894135548874,-0.019306229880411037,1.423817211639569,0.89496929373624,0.9933345534919166,0.9935046878633191
Jacksonville,1.3923352643282094,1.3647991426543529,1.3385303871253407,1.3181635459497134,1.3025038256942751,1.291552719838574,1.2868751983865299,1.2841484821523987,1.2812723689433594,0.33098238372282307,0.3110072695709895,0.291572286092888,0.27623951483876313,0.26428843183437284,0.2558451533466925,0.25221695296136576,0.2500958388875512,0.24785362243968015,-0.04100341115347953,0.42830495988133216,1.5346540175200842,0.9853611113888617,-0.054649161328501,1.521366574256451,0.9856564609398882,0.8907951756364073,0.885230161195585
Kansas City,1.3476779649684636,1.2987080429934756,1.2759958465633252,1.2592053557284943,1.2489204814532937,1.2416589206724986,1.2339380343866972,1.2277932150007076,1.2226839970421781,0.29838308555800147,0.2613699572258996,0.2437269298728845,0.23048085195062107,0.22227956334670845,0.21644832475938947,0.21021070897658012,0.20521842385224287,0.2010484398695303,-0.043523648375598314,0.3942556287445889,1.4832796691353403,0.99298637348194,-0.05573173189114531,1.4694437079088176,0.9903769213102985,0.8615611394800243,0.8516021035287036
Las Vegas,1.3286382614132926,1.3223049937334725,1.3201192530937347,1.3200789561058746,1.3166391133124675,1.3134289998384046,1.3118575590900703,1.3133868922800092,1.3159071047354585,0.28415455412825363,0.27937642112457345,0.2777220757704029,0.277691550041143,0.27508236342783055,0.27264127450539716,0.271444116861276,0.27260921473407834,0.27452624130480274,-0.005278718747687517,0.29580192783425846,1.3442038810880914,0.8864330751580914,-0.006969258959022656,1.3440006878393946,0.8869496835143459,0.7481687795505886,0.7479657271530828
Los Angeles,1.3492227990003094,1.280908423606628,1.2573733592111536,1.2436425461187828,1.2373045629983925,1.234819235892737,1.2372388226799365,1.2425894448042694,1.2534168829186265,0.2995287222246888,0.24756953215203345,0.22902490953953536,0.2180446106780199,0.21293527409844012,0.21092459166895497,0.21288214080617132,0.21719746416768726,0.22587332841504698,-0.03425495071699687,0.35804233256756546,1.4305261770441753,0.7571400689453641,-0.04414872906380795,1.4240673709914642,0.7549866220712207,0.46966133171737573,0.4671919832984504
Louisville,1.415233679267091,1.3522400482999783,1.3257298869873992,1.3143591509138175,1.3072061245298374,1.3030928137601026,1.3035823978090557,1.3108224413438658,1.3216362304730513,0.3472946618187407,0.3017625123782801,0.28196316587525316,0.27334920913398875,0.26789213034046955,0.26474052642717416,0.2651161651354698,0.27065475803764477,0.2788705375076755,-0.0325451416299225,0.4047469529793041,1.4989231540242214,0.7788187201658627,-0.04412488856983177,1.4925770866990298,0.7768576558292023,0.4961119475069333,0.49351224069627286
Memphis,1.3836709660756512,1.3247813076937356,1.2910194406980002,1.2669879637731756,1.2518208107538271,1.2434385553193854,1.2390192666572288,1.2370359335006367,1.2355569211642343,0.32474008765572254,0.28124739501862306,0.25543217038629207,0.23664240150948695,0.22459914003382203,0.21788057034999292,0.21432015269335772,0.2127181418976041,0.21152181674442888,-0.05315076564057884,0.4401095838068017,1.5528773794024577,0.9717030160372562,-0.06913010122745837,1.5323249178113332,0.9679753488882726,0.7989022200530806,0.788561054568865
Milwaukee,1.259277972938473,1.2090730434913919,1.1867090038683803,1.175179855107369,1.1682466585186182,1.1641474476052645,1.1632682250826336,1.1639337982848545,1.1642077478462736,0.2305385193643159,0.1898539862604194,0.17118393297657988,0.16142120405886862,0.15550404234917056,0.15198901448727273,0.15123347900233752,0.15180547336611397,0.1520408109151892,-0.03520906853543536,0.29955086344848536,1.3492526727749732,0.9078823241573568,-0.04242173709964547,1.3418040497421442,0.9031606128876986,0.6723512577140953,0.6649821342257226
Minneapolis-St.Paul,1.367956699688347,1.3031870861864812,1.2701199260392533,1.2488143236567024,1.2342826281339614,1.2240781563469771,1.2154627812004615,1.2097168280185802,1.2049005979112202,0.31331816642481475,0.26481286894604306,0.23911132596444057,0.222194560089807,0.21048993340309563,0.2021880352762585,0.19512489414929984,0.19038630578926588,0.1863970721800357,-0.05764075880723259,0.43960388667775885,1.5520922922948175,0.9889858531366712,-0.07370608839974208,1.5277247243129382,0.9849687278804222,0.8436855259034255,0.8307553146827671
Nashville,1.4297597712771255,1.359871384808002,1.3223570330949683,1.2979029443773333,1.2809747773730242,1.2671990831726268,1.256154400874191,1.2471312517026993,1.2404771540001511,0.35750643804566196,0.3073901252818206,0.27941577538683804,0.26074984227925757,0.2476213329260779,0.23680901857131278,0.22805499112297356,0.2208459151307803,0.21549610721281726,-0.06460472462171181,0.5021965519579241,1.6523467529577336,0.9965035884063181,-0.08574644608230654,1.6196094896881053,0.9936391726571694,0.8756645209472264,0.8619057784628519
